"oid","typ","cid","tna","rnk","tid","oei","oli","eag","lag","rid","lng","lat"
196759,"occ",20285,"Canis dirus",3,44837,"Irvingtonian",NA,1.8,0.3,1482,-103.199997,20.299999
196760,"occ",20285,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1482,-103.199997,20.299999
196816,"occ",20289,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,2673,-82.070274,28.799168
196817,"occ",20289,"Urocyon cinereoargenteus",3,52594,"Irvingtonian",NA,1.8,0.3,1063,-82.070274,28.799168
196842,"occ",20290,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2673,-93.199997,36
196843,"occ",20290,"Canis lupus",3,44860,"Irvingtonian",NA,1.8,0.3,2673,-93.199997,36
196844,"occ",20290,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,6294,-93.199997,36
196845,"occ",20290,"Urocyon cinereoargenteus",3,52594,"Irvingtonian",NA,1.8,0.3,6221,-93.199997,36
196901,"occ",20293,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1462,-98.099998,39.799999
196932,"occ",20295,"Canis dirus",3,44837,"Irvingtonian",NA,1.8,0.3,6294,-100.300003,37.200001
196933,"occ",20295,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1907,-100.300003,37.200001
196934,"occ",20295,"Vulpes velox",3,52690,"Irvingtonian",NA,1.8,0.3,1907,-100.300003,37.200001
196952,"occ",20297,"Canidae",9,41189,"Irvingtonian",NA,1.8,0.3,6294,-147.800003,64.800003
196953,"occ",20297,"Canis lupus",3,44860,"Irvingtonian",NA,1.8,0.3,2673,-147.800003,64.800003
196954,"occ",20297,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,2773,-147.800003,64.800003
196982,"occ",20299,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2615,-82.199997,28.799999
197002,"occ",20301,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2673,-100.300003,37.200001
197033,"occ",20302,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,1628,-78.699997,39.599998
197034,"occ",20302,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2673,-78.699997,39.599998
197092,"occ",20303,"Canis edwardii",3,44838,"Blancan",NA,4.9,1.8,2252,-110.199997,32
197140,"occ",20308,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2615,-81.821114,27.041668
197257,"occ",20318,"Canidae",9,41189,"Irvingtonian",NA,1.8,0.3,1302,-99.800003,34
197268,"occ",20319,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2887,-117,33.900002
197327,"occ",20323,"Canis latrans",3,44854,"Irvingtonian","Rancholabrean",1.8,0.012,2018,-117.800003,33.599998
197328,"occ",20323,"Urocyon",5,41247,"Irvingtonian","Rancholabrean",1.8,0.012,2018,-117.800003,33.599998
197352,"occ",20327,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1400,-120.195831,37.056667
197353,"occ",20327,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,1400,-120.195831,37.056667
197354,"occ",20327,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,1399,-120.195831,37.056667
197378,"occ",20329,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
197379,"occ",20329,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
197380,"occ",20329,"Vulpes velox",3,52690,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
197401,"occ",20334,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2615,-82,26.9
197404,"occ",20335,"Canis",5,41198,"Irvingtonian","Rancholabrean",1.8,0.012,2018,-117,34.799999
197441,"occ",20342,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1319,-99.5,33.75
197442,"occ",20342,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,1319,-99.5,33.75
197486,"occ",20346,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,2772,-147.800003,64.800003
197489,"occ",20346,"Canis lupus",3,44860,"Irvingtonian",NA,1.8,0.3,2673,-147.800003,64.800003
197498,"occ",20347,"Canis dirus",3,44837,"Irvingtonian",NA,1.8,0.3,1916,-102.5,42.700001
197499,"occ",20347,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1916,-102.5,42.700001
197500,"occ",20347,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,1916,-102.5,42.700001
197571,"occ",20351,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,2615,-82.099998,29.799999
197572,"occ",20351,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,2615,-82.099998,29.799999
197621,"occ",20354,"Urocyon cinereoargenteus",3,52594,"Irvingtonian",NA,1.8,0.3,1727,-77.199997,39.799999
197664,"occ",20360,"Canis",5,41198,"Middle Pleistocene",NA,0.781,0.126,6294,-105.75,37.366669
197721,"occ",20375,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,1916,-102.5,42.700001
197731,"occ",20376,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,6294,-102.5,42.700001
197793,"occ",20384,"Urocyon",5,41247,"Blancan",NA,4.9,1.8,3580,-82.68,29
197794,"occ",20384,"Canis edwardii",3,44838,"Blancan",NA,4.9,1.8,3580,-82.68,29
197822,"occ",20385,"Urocyon",5,41247,"Irvingtonian",NA,1.8,0.3,3872,-82.668053,29.011944
197859,"occ",20387,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,2436,-122,37.599998
197860,"occ",20387,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,6294,-122,37.599998
197919,"occ",20390,"Vulpes",5,41248,"Irvingtonian",NA,1.8,0.3,1912,-98.099998,38.700001
197978,"occ",20398,"Canis dirus",3,44837,"Rancholabrean",NA,0.3,0.012,2611,-82.199997,28.799999
197990,"occ",20400,"Canis edwardii",3,44838,"Irvingtonian",NA,1.8,0.3,1960,-82.5,27.700001
197991,"occ",20400,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,1960,-82.5,27.700001
197992,"occ",20400,"Urocyon cinereoargenteus",3,52594,"Irvingtonian",NA,1.8,0.3,1063,-82.5,27.700001
198018,"occ",20401,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,1960,-82.5,27.700001
198116,"occ",20415,"Canis armbrusteri",3,44827,"Irvingtonian",NA,1.8,0.3,2615,-82.599998,29.4
198133,"occ",20417,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,1200,-110.699997,50.099998
198145,"occ",20419,"Canis dirus",3,44837,"Irvingtonian","Rancholabrean",1.8,0.012,2193,-80.5,28.1
198253,"occ",20434,"Canis lupus",3,44860,"Irvingtonian",NA,1.8,0.3,2048,-140,68.199997
198254,"occ",20434,"Alopex lagopus",3,43911,"Irvingtonian",NA,1.8,0.3,2048,-140,68.199997
198265,"occ",20436,"Alopex lagopus",3,43911,"Irvingtonian",NA,1.8,0.3,2048,-140,68.199997
198363,"occ",20454,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,2725,-117,33.900002
198476,"occ",20477,"Canis latrans",3,44854,"Irvingtonian",NA,1.8,0.3,1022,-105.699997,39.299999
198477,"occ",20477,"Urocyon cinereoargenteus",3,52594,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
198478,"occ",20477,"Vulpes vulpes",3,52691,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
198479,"occ",20477,"Vulpes velox",3,52690,"Irvingtonian",NA,1.8,0.3,949,-105.699997,39.299999
198512,"occ",20479,"Canis",5,41198,"Irvingtonian",NA,1.8,0.3,2673,-75.300003,40.200001
198514,"occ",20479,"Urocyon cinereoargenteus",3,52594,"Irvingtonian",NA,1.8,0.3,1628,-75.300003,40.200001
198605,"occ",20491,"Urocyon cinereoargenteus",3,52594,"Rancholabrean",NA,0.3,0.012,3580,-82.300003,29.1
